Дата,Материал,Цена,Изменение за день,Изменение за день(процент),Изменение за неделю,Изменение за неделю(процент),Изменение за месяц,Изменение за месяц(процент)
2023-06-07 00:00:00,"HC FeCr (55% Cr, 10% C, EXW Внутренняя Монголия)",8875 CNY/т,+0 CNY/т,+0 %,-25 CNY/т,-0.28 %,+225 CNY/т,+2.6 %
-,"HC FeCr (70% Cr, 0,5% Si, CIF Казахстан)",112 USDc/фунт Cr,+0 USDc/фунт Cr,+0 %,+0 USDc/фунт Cr,+0 %,+1.5 USDc/фунт Cr,+1.36 %
-,"HC FeCr (60% Cr, 4% Si, CIF Индия)",103.5 USDc/фунт Cr,+0 USDc/фунт Cr,+0 %,+0 USDc/фунт Cr,+0 %,+2 USDc/фунт Cr,+1.97 %
-,"HC FeCr (48-50% Cr, 5% Si, CIF ЮАР)",103.5 USDc/фунт Cr,+0 USDc/фунт Cr,+0 %,+0 USDc/фунт Cr,+0 %,+2 USDc/фунт Cr,+1.97 %
-,"HC FeCr (62-70% Cr, DDP Европа)",200 USDc/фунт Cr,+0 USDc/фунт Cr,+0 %,-37.5 USDc/фунт Cr,-15.79 %,-82.5 USDc/фунт Cr,-29.2 %
-,"LC FeCr (52-60% Cr, 0,25% C, EXW Внутренняя Монголия)",14450 CNY/т,+0 CNY/т,+0 %,-100 CNY/т,-0.69 %,+400 CNY/т,+2.85 %
-,"LC FeCr (0,1% C, DDP Европа)",327.5 USDc/фунт Cr,-10 USDc/фунт Cr,-2.96 %,-10 USDc/фунт Cr,-2.96 %,-55 USDc/фунт Cr,-14.38 %
-,"LC FeCr (0,1% C, EXW США)",400 USDc/фунт Cr,-5 USDc/фунт Cr,-1.23 %,-5 USDc/фунт Cr,-1.23 %,-42.5 USDc/фунт Cr,-9.6 %
-,"Cr руда (42% Cr, кусковая, CIF Китай)",327.5 USD/т,+0 USD/т,+0 %,+0 USD/т,+0 %,+17.5 USD/т,+5.65 %
